entry_id,verify,trace_index,issue_type,description
entry-00057,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00057,1,7,ambiguous_after_critical,"trace[7] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00058,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00058,1,4,ambiguous_after_critical,"trace[4] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00061,1,0,ambiguous_after_critical,"trace[0] 在 both 中 comparison=strictly_after, vs_entry=overlapping, vs_critical=strictly_after"
entry-00061,1,1,ambiguous_before_entry,"trace[1] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=strictly_after"
entry-00061,1,3,ambiguous_before_entry,"trace[3] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=overlapping"
entry-00061,1,4,ambiguous_before_entry,"trace[4] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=overlapping"
entry-00062,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00062,1,7,ambiguous_after_critical,"trace[7] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00063,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00063,1,6,ambiguous_after_critical,"trace[6] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00064,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00064,1,5,ambiguous_after_critical,"trace[5] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00064,1,6,ambiguous_after_critical,"trace[6] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00065,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00065,1,11,ambiguous_after_critical,"trace[11] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00066,1,0,ambiguous_after_critical,"trace[0] 在 both 中 comparison=strictly_after, vs_entry=overlapping, vs_critical=strictly_after"
entry-00066,1,5,ambiguous_before_entry,"trace[5] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=overlapping"
entry-00067,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00067,1,6,ambiguous_after_critical,"trace[6] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00074,1,0,ambiguous_after_critical,"trace[0] 在 both 中 comparison=strictly_after, vs_entry=overlapping, vs_critical=strictly_after"
entry-00074,1,1,ambiguous_before_entry,"trace[1] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=overlapping"
entry-00075,1,0,ambiguous_after_critical,"trace[0] 在 both 中 comparison=strictly_after, vs_entry=overlapping, vs_critical=strictly_after"
entry-00075,1,2,ambiguous_before_entry,"trace[2] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=overlapping"
entry-00076,1,0,ambiguous_after_critical,"trace[0] 在 both 中 comparison=strictly_after, vs_entry=overlapping, vs_critical=strictly_after"
entry-00076,1,2,ambiguous_before_entry,"trace[2] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=overlapping"
entry-00077,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00077,1,1,ambiguous_after_critical,"trace[1] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00078,1,0,ambiguous_after_critical,"trace[0] 在 both 中 comparison=strictly_after, vs_entry=overlapping, vs_critical=strictly_after"
entry-00078,1,1,ambiguous_before_entry,"trace[1] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=overlapping"
entry-00079,1,0,ambiguous_after_critical,"trace[0] 在 both 中 comparison=strictly_after, vs_entry=overlapping, vs_critical=strictly_after"
entry-00079,1,2,ambiguous_before_entry,"trace[2] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=overlapping"
entry-00080,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00080,1,3,ambiguous_after_critical,"trace[3] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00081,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00081,1,3,ambiguous_after_critical,"trace[3] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00082,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00082,1,6,ambiguous_after_critical,"trace[6] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00083,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00083,1,5,ambiguous_after_critical,"trace[5] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00084,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00084,1,11,ambiguous_after_critical,"trace[11] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00085,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00085,1,5,ambiguous_after_critical,"trace[5] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00086,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00086,1,6,ambiguous_after_critical,"trace[6] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00087,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00087,1,8,ambiguous_after_critical,"trace[8] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00090,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00090,1,7,ambiguous_after_critical,"trace[7] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00091,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00091,1,4,ambiguous_after_critical,"trace[4] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00099,0,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00099,0,3,ambiguous_after_critical,"trace[3] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00100,0,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00100,0,4,ambiguous_after_critical,"trace[4] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00101,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00101,1,4,ambiguous_after_critical,"trace[4] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00103,0,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00103,0,3,ambiguous_after_critical,"trace[3] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00104,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00104,1,4,ambiguous_after_critical,"trace[4] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00105,1,0,ambiguous_before_entry,"trace[0] 在 entry_file 中 comparison=overlapping, vs_entry=overlapping, vs_critical=n/a"
entry-00105,1,3,ambiguous_after_critical,"trace[3] 在 critical_file 中 comparison=overlapping, vs_entry=n/a, vs_critical=overlapping"
entry-00113,1,3,ambiguous_before_entry,"trace[3] 在 both 中 comparison=strictly_before, vs_entry=strictly_before, vs_critical=overlapping"
