entry_id,verify,trace_index,file,line,line_start,line_end,duplicate,anomaly,certainty,file_group,comparison,vs_entry,vs_critical,code_preview
entry-00057,1,0,src/lib/components/chat/MessageInput/CommandSuggestionList.svelte,97,97,97,no,before_entry,ambiguous,entry_file,overlapping,overlapping,n/a,insertTextHandler(data.content);
entry-00057,1,1,backend/open_webui/routers/prompts.py,47,47,47,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,"@router.post(""/create"", response_model=Optional[PromptModel])"
entry-00057,1,2,src/lib/components/chat/MessageInput/CommandSuggestionList.svelte,30,30,30,no,before_entry,clear,entry_file,strictly_before,strictly_before,n/a,prompts.set(await getPrompts(localStorage.token));
entry-00057,1,3,src/lib/components/chat/MessageInput/CommandSuggestionList.svelte,93,93,93,no,before_entry,clear,entry_file,strictly_before,strictly_before,n/a,onSelect={(e) => {
entry-00057,1,4,src/lib/components/chat/MessageInput.svelte,324,324,324,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,const replaceCommandWithText = (text) => {
entry-00057,1,5,src/lib/components/chat/MessageInput.svelte,1207,1207,1207,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,insertPromptAsRichText={$settings?.insertPromptAsRichText ?? false}
entry-00057,1,6,src/lib/components/common/RichTextInput.svelte,338,338,338,no,none,n/a,critical_file,strictly_before,n/a,strictly_before,if (insertPromptAsRichText) {
entry-00057,1,7,src/lib/components/common/RichTextInput.svelte,347-348,347,348,no,after_critical,ambiguous,critical_file,overlapping,n/a,overlapping,"const tempDiv = document.createElement('div');
			tempDiv.innerHTML = htmlContent;"
entry-00058,1,0,internal/distributed/proxy/service.go,240-249,240,249,no,before_entry,ambiguous,entry_file,overlapping,overlapping,n/a,"	if enableCustomInterceptor {
		unaryServerOption = grpc.UnaryInterceptor(grpc_middleware.ChainUnary"
entry-00058,1,1,internal/proxy/authentication_interceptor.go,50-59,50,59,no,none,n/a,critical_file,strictly_before,n/a,strictly_before,"func GrpcAuthInterceptor(authFunc grpc_auth.AuthFunc) grpc.UnaryServerInterceptor {
	return func(ctx"
entry-00058,1,2,internal/proxy/authentication_interceptor.go,39-48,39,48,no,none,n/a,critical_file,strictly_before,n/a,strictly_before,"		return false
	}
	// token format: base64<sourceID>
	token := authorization[0]
	sourceID, err := cr"
entry-00058,1,3,pkg/util/constant.go,49-52,49,52,no,none,n/a,cross_file,n/a (cross-file),n/a,n/a,"	// HeaderSourceID identify requests from Milvus members and client requests
	HeaderSourceID = ""sour"
entry-00058,1,4,internal/proxy/authentication_interceptor.go,83-92,83,92,no,after_critical,ambiguous,critical_file,overlapping,n/a,overlapping,"	if Params.CommonCfg.AuthorizationEnabled.GetAsBool() {
		if !validSourceID(ctx, md[strings.ToLower("
entry-00061,1,0,packages/ui/src/views/account/index.jsx,702,702,702,no,after_critical,ambiguous,both,strictly_after,overlapping,strictly_after,onChange={(e) => setEmail(e.target.value)}
entry-00061,1,1,packages/ui/src/views/account/index.jsx,667,667,667,no,before_entry,ambiguous,both,strictly_before,strictly_before,strictly_after,"<StyledButton onClick={saveProfileData} sx={{ borderRadius: 2, height: 40 }} variant='contained'>"
