entry_id,field,change_type,old_file,old_line,new_file,new_line,notes
entry-00099,entry_point,replace,packages/cli/src/workflows/workflows.controller.ts,539,packages/cli/src/workflows/workflows.controller.ts,540,"装饰器 @Post → 方法签名 async runManually"
entry-00099,critical_operation,replace,packages/workflow/src/expression-sandboxing.ts,244,packages/workflow/src/expression.ts,472,"防御函数 PrototypeSanitizer 声明 → 实际执行点 evaluateExpression"
entry-00099,trace,replace,packages/cli/src/workflows/workflows.controller.ts,539,packages/cli/src/workflows/workflows.controller.ts,540,"trace[0] 装饰器 → 方法签名"
entry-00099,trace,replace,packages/workflow/src/expression-sandboxing.ts,244,packages/workflow/src/expression.ts,472,"trace 末步从 PrototypeSanitizer → evaluateExpression，新增 PrototypeSanitizer AST 遍历节点"
entry-00100,critical_operation,replace,packages/workflow/src/expression-sandboxing.ts,"330-336",packages/workflow/src/expression.ts,472,"防御函数 sanitizer 定义 → 实际执行点 evaluateExpression"
entry-00100,trace,replace,-,-,-,-,"重构为 4 步，强化 __sanitize 遮蔽语义"
entry-00103,entry_point,replace,packages/cli/src/webhooks/webhook-helpers.ts,615,packages/cli/src/webhooks/webhook-request-handler.ts,149,"闭合花括号 } → res.setHeader(name, value)"
entry-00103,trace,replace,-,-,-,-,"重构为 3 步，删除花括号锚点和 webhook-helpers.ts 无关代码块"
entry-00176,critical_operation,replace,packages/@n8n/task-runner-python/src/constants.py,126,packages/@n8n/task-runner-python/src/task_analyzer.py,66,"静态字典 BLOCKED_ATTRIBUTES 定义 → 动态检查 if node.attr in BLOCKED_ATTRIBUTES"
entry-00176,trace,remove,-,-,-,-,"trace 末步移除 BLOCKED_ATTRIBUTES 定义节点"
entry-00511,entry_point.line,correct,packages/workflow/src/expression.ts,485,packages/workflow/src/expression.ts,424,"源码验证: commit 09e2c2b L424 = data.extend = extend;"
entry-00511,trace[0].line,correct,packages/workflow/src/expression.ts,"484-492",packages/workflow/src/expression.ts,"423-430","源码验证: extend/extendOptional 赋值 + sanitizer defineProperty"
entry-00511,trace[1].line,correct,packages/workflow/src/expression.ts,"496-503",packages/workflow/src/expression.ts,"432-439","源码验证: constructorValidation 正则守卫块"
entry-00511,trace[2].line,correct,packages/@n8n/expression-runtime/src/runtime/reset.ts,"167-168",packages/@n8n/expression-runtime/src/runtime/reset.ts,"143-144","源码验证: globalThis.__data.extend = extend;"
entry-00511,critical_operation.line,correct,packages/@n8n/expression-runtime/src/extensions/extend.ts,"81-84",packages/@n8n/expression-runtime/src/extensions/extend.ts,"80-83","源码验证: 原生回退if块 (含闭合})"
entry-00511,critical_operation.code,correct,-,-,-,-,"源码验证: 补全 if 块闭合 } (extend.ts L83)"
entry-00511,trace[4].line,correct,packages/@n8n/expression-runtime/src/extensions/extend.ts,"78-84",packages/@n8n/expression-runtime/src/extensions/extend.ts,"77-83","源码验证: const inputAny 到 if 块结束"
entry-00512,entry_point.line,correct,packages/workflow/src/expression.ts,523,packages/workflow/src/expression.ts,456,"源码验证: commit 09e2c2b L456 = private renderExpression(...)"
entry-00512,trace[0].line,correct,packages/workflow/src/expression.ts,523,packages/workflow/src/expression.ts,456,"源码验证: 同 entry_point"
entry-00512,trace[1].line,correct,packages/workflow/src/expression-sandboxing.ts,"493-502",packages/workflow/src/expression-sandboxing.ts,"424-435","源码验证: PrototypeSanitizer path.replace 调用"
entry-00512,critical_operation.line,correct,packages/@n8n/expression-runtime/src/runtime/reset.ts,45,packages/@n8n/expression-runtime/src/runtime/reset.ts,39,"源码验证: globalThis.__data.__sanitize = __sanitize;"
entry-00512,trace[2].line,correct,packages/@n8n/expression-runtime/src/runtime/reset.ts,45,packages/@n8n/expression-runtime/src/runtime/reset.ts,39,"源码验证: 同 critical_operation"
